net,ref,pin,pin_name,part
Q1,JP2,2,C,port bit Q1: 1=+5V C=Q 3=GND
Q2,U8,7,Q2,CD74HCT688M
Q2,JP3,2,C,port bit Q2: 1=+5V C=Q 3=GND
Q3,U8,9,Q3,CD74HCT688M
Q3,JP4,2,C,port bit Q3: 1=+5V C=Q 3=GND
Q4,U8,12,Q4,CD74HCT688M
Q4,JP5,2,C,port bit Q4: 1=+5V C=Q 3=GND
Q5,U8,14,Q5,CD74HCT688M
Q5,JP6,2,C,port bit Q5: 1=+5V C=Q 3=GND
nPEQ,U8,19,nPEQ,CD74HCT688M
nPEQ,JP7,1,1,LOOSE decode: 1=nPEQ C=G2A 3=A7
DEC_EN,JP7,2,C,LOOSE decode: 1=nPEQ C=G2A 3=A7
DEC_EN,U9,4,nG2A,SN74HCT138DR
nALD,U9,10,Y5,SN74HCT138DR
nALD,U5,2,A1,SN74LVC245APWR (strobes in)
nTXT,U9,7,Y7,SN74HCT138DR
nTXT,U5,3,A2,SN74LVC245APWR (strobes in)
nRDSTAT,U9,13,Y2,SN74HCT138DR
nRDSTAT,U5,4,A3,SN74LVC245APWR (strobes in)
nRDSTAT,U7,1,nOE,SN74LVC1G125DBVR
nRDEXT,U9,12,Y3,SN74HCT138DR
nRDEXT,U6,19,nOE,SN74LVC245APWR (status out)
+3V3,U4,1,DIR,SN74LVC245APWR (data in)
+3V3,U4,20,VCC,SN74LVC245APWR (data in)
+3V3,U5,1,DIR,SN74LVC245APWR (strobes in)
+3V3,U5,20,VCC,SN74LVC245APWR (strobes in)
+3V3,U6,20,VCC,SN74LVC245APWR (status out)
+3V3,U7,5,VCC,SN74LVC1G125DBVR
+3V3,U3,5,VOUT,AP2112K-3.3TRG1
+3V3,C23,1,1,10uF LDO out
+3V3,U1,1,IOVDD,RP2040
+3V3,U1,10,IOVDD,RP2040
+3V3,U1,22,IOVDD,RP2040
+3V3,U1,33,IOVDD,RP2040
+3V3,U1,42,IOVDD,RP2040
+3V3,U1,49,IOVDD,RP2040
+3V3,U1,48,USB_VDD,RP2040
+3V3,U1,44,VREG_VIN,RP2040
+3V3,U1,43,ADC_AVDD,RP2040
+3V3,C1,1,1,100nF
+3V3,C2,1,1,100nF
+3V3,C3,1,1,100nF
+3V3,C4,1,1,100nF
+3V3,C5,1,1,100nF
+3V3,C6,1,1,100nF
+3V3,C7,1,1,100nF
+3V3,C8,1,1,100nF
+3V3,C9,1,1,100nF
+3V3,U2,8,VCC,W25Q32JVSSIQ
+3V3,C10,1,1,100nF
+3V3,C11,1,1,100nF
+3V3,C12,1,1,100nF
+3V3,C13,1,1,100nF
+3V3,C14,1,1,100nF
+3V3,R7,2,2,10k QSPI_SS
+3V3,R6,2,2,10k RUN
GP0,U4,18,B1,SN74LVC245APWR (data in)
GP0,U1,2,GP0,RP2040
GP1,U4,17,B2,SN74LVC245APWR (data in)
GP1,U1,3,GP1,RP2040
GP2,U4,16,B3,SN74LVC245APWR (data in)
GP2,U1,4,GP2,RP2040
GP3,U4,15,B4,SN74LVC245APWR (data in)
GP3,U1,5,GP3,RP2040
GP4,U4,14,B5,SN74LVC245APWR (data in)
GP4,U1,6,GP4,RP2040
GP5,U4,13,B6,SN74LVC245APWR (data in)
GP5,U1,7,GP5,RP2040
GP6,U4,12,B7,SN74LVC245APWR (data in)
GP6,U1,8,GP6,RP2040
GP7,U4,11,B8,SN74LVC245APWR (data in)
GP7,U1,9,GP7,RP2040
GP8,U5,18,B1,SN74LVC245APWR (strobes in)
GP8,U1,11,GP8,RP2040
GP9,U5,17,B2,SN74LVC245APWR (strobes in)
GP9,U1,12,GP9,RP2040
GP15,U5,16,B3,SN74LVC245APWR (strobes in)
GP15,U1,18,GP15,RP2040
GP10,U5,15,B4,SN74LVC245APWR (strobes in)
GP10,U1,13,GP10,RP2040
GP12,U5,14,B5,SN74LVC245APWR (strobes in)
GP12,U1,15,GP12,RP2040
GP20,U6,18,B1,SN74LVC245APWR (status out)
GP20,U1,31,GP20,RP2040
RB0,U6,2,A1,SN74LVC245APWR (status out)
RB0,R20,1,1,33R RB0
GP21,U6,17,B2,SN74LVC245APWR (status out)
GP21,U1,32,GP21,RP2040
RB1,U6,3,A2,SN74LVC245APWR (status out)
RB1,R21,1,1,33R RB1
GP22,U6,16,B3,SN74LVC245APWR (status out)
GP22,U1,34,GP22,RP2040
RB2,U6,4,A3,SN74LVC245APWR (status out)
RB2,R22,1,1,33R RB2
GP23,U6,15,B4,SN74LVC245APWR (status out)
GP23,U1,35,GP23,RP2040
RB3,U6,5,A4,SN74LVC245APWR (status out)
RB3,R23,1,1,33R RB3
GP24,U6,14,B5,SN74LVC245APWR (status out)
GP24,U1,36,GP24,RP2040
RB4,U6,6,A5,SN74LVC245APWR (status out)
RB4,R24,1,1,33R RB4
GP25,U6,13,B6,SN74LVC245APWR (status out)
GP25,U1,37,GP25,RP2040
RB5,U6,7,A6,SN74LVC245APWR (status out)
RB5,R25,1,1,33R RB5
